Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26
FCT,0,2018 DHS,NC,39.5,0.6,14.1,35.4,68.4,34.7,76.8,75.4,42.7,27,23.3,79.2,14.3,6.2,0,0,0,0,0,0,75,77.6
Gombe,0,2018 DHS,NE,74.2,1.8,28.5,37.1,50.7,62,80.6,65,40,14.8,37,84.4,8.3,12.3,0,0,0,0,0,0,189,77.6
Imo,0,2018 DHS,SE,55.4,1.4,36.9,29.7,51.2,23.2,43.2,87,67.5,32,27.9,51.3,15,45.8,0,0,0,0,0,0,87,76.1
Jigawa,0,2018 DHS,NW,98,3.1,68.2,89.1,90.5,95.7,97.3,66.9,52.5,22.9,33.8,83.2,17,28.7,0,0,0,0,0,0,213,63.7
Kaduna,0,2018 DHS,NW,79.3,1.5,28.4,67.1,78.7,62.4,74.1,59.1,33.1,9.2,25.8,64.4,5.9,1.5,0,0,0,0,0,0,187,78.6
Kano,0,2018 DHS,NW,85.2,2.2,40.6,74.5,82.7,78.7,92.7,74.5,34,7.2,26.4,84,16.4,28.1,0,0,0,0,0,0,164,78.5
Katsina,0,2018 DHS,NW,91.8,2.7,51.6,72.5,77.6,76.6,83.9,45,27.3,6.3,28.6,79.1,14.7,23,0,0,0,0,0,0,188,71.3
Kebbi,1,2018 DHS,NW,98.1,2.6,51.9,93.5,94.8,96.2,97.5,62.2,33.9,5.4,38.9,73.1,20.8,57.3,0,0,0,0,0,0,252,70.8
Kogi,0,2018 DHS,NC,68.5,1.3,44,53.2,69.6,50.5,72.5,77.7,47.5,29.8,11.5,51.9,23.7,12.1,0,0,0,0,0,0,148,76
Kwara,0,2018 DHS,NC,65.5,1.4,37.5,34.1,51,37.7,63.3,57,33.5,14.6,11.4,53.5,10.4,21.5,0,0,0,0,0,0,74,79.2
Lagos,0,2018 DHS,SW,29.3,0.4,9.2,21.3,56.1,15.4,45.9,69,44.7,20,6.7,78.4,31.5,24.8,0,0,0,0,0,0,59,66.8
Nasarawa,1,2018 DHS,NC,76.6,1.8,45.2,57.4,71.1,59.6,71.7,64.3,53.2,14.9,10.3,48.4,38,0,0,0,0,0,0,0,120,69.4
Niger,0,2018 DHS,NC,46.9,0.8,16.4,37.3,74.9,40.8,75.9,44.2,19.5,4.9,28,50.6,8.6,33.3,0,0,0,0,0,0,98,77
Ogun,0,2018 DHS,SW,47.9,0.9,29.6,49.3,78.4,55.7,84.9,84.5,37.1,21.2,4.9,0,0,0,0,0,0,0,0,0,30,78.2
Ondo,0,2018 DHS,SW,79.8,1.6,54.7,58.9,69.3,51.2,68.6,67.8,52.2,26.7,12.7,61,32.1,29.7,0,0,0,0,0,0,79,80.9
Osun,0,2018 DHS,SW,42.1,0.6,16.9,32.4,63,37.1,61.1,58.3,42.5,11.7,13.9,65.8,25.1,30.9,0,0,0,0,0,0,70,82.9
Oyo,1,2018 DHS,SW,51.4,0.8,30.6,41.7,77.3,31.6,58.9,46.1,22,4.4,6.5,80.8,16.1,8.6,0,0,0,0,0,0,64,72.7
Plateau,1,2018 DHS,NC,45.5,0.8,18,45,85.7,42.5,91.5,38.6,25.3,17.6,18.6,49.8,20.7,11.7,0,0,0,0,0,0,106,73.6
Rivers,0,2018 DHS,SS,33.9,0.5,13.7,27.7,64.1,24,69.5,75.4,53.4,25.2,42,89.9,8.7,25.4,0,0,0,0,0,0,79,63.6
Sokoto,1,2018 DHS,NW,86.6,1.9,39.6,56,63.5,78,84.3,44.1,37.1,22.5,32.7,73.5,2.8,6.4,0,0,0,0,0,0,197,75.1
Taraba,0,2018 DHS,NE,40.1,0.7,13.1,24.2,59.8,30.4,68.3,55,26.8,7.4,28.8,52.5,5.5,19.3,0,0,0,0,0,0,129,78.5
